arxiv_id,title
2601.14243v1,Jet-RL: Enabling On-Policy FP8 Reinforcement Learning with Unified Training and Rollout Precision Flow
2601.14242v1,APEX-Agents
2601.14238v1,Spatiotemporal Wildfire Prediction and Reinforcement Learning for Helitack Suppression
2601.14235v1,Opportunities in AI/ML for the Rubin LSST Dark Energy Science Collaboration
2601.14234v1,Q-learning with Adjoint Matching
2601.14232v1,KAGE-Bench: Fast Known-Axis Visual Generalization Evaluation for Reinforcement Learning
2601.14228v1,Attention-Based Offline Reinforcement Learning and Clustering for Interpretable Sepsis Treatment
2601.14226v1,Deep Learning Approaches to Quantum Error Mitigation
2601.14209v1,InT: Self-Proposed Interventions Enable Credit Assignment in LLM Reasoning
2601.14208v1,Rig-Aware 3D Reconstruction of Vehicle Undercarriages using Gaussian Splatting
2601.14196v1,Differentiated Pickup Point Offering for Emission Reduction in Last-Mile Delivery
2601.14175v1,A model of errors in transformers
2601.14173v1,Penalizing Localized Dirichlet Energies in Low Rank Tensor Products
2601.14157v1,ConceptCaps -- a Distilled Concept Dataset for Interpretability in Music Models
2601.14152v1,Lost in the Prompt Order: Revealing the Limitations of Causal Attention in Language Models
2601.14115v1,Riemannian Liquid Spatio-Temporal Graph Network
2601.14112v1,Learning to Explain: Supervised Token Attribution from Transformer Attention Patterns
2601.14099v1,Causal feature selection framework for stable soft sensor modeling based on time-delayed cross mapping
2601.14092v1,Optimizing Energy and Data Collection in UAV-aided IoT Networks using Attention-based Multi-Objective Reinforcement Learning
2601.14087v1,'1'-bit Count-based Sorting Unit to Reduce Link Power in DNN Accelerators
2601.14086v1,Two-Stream temporal transformer for video action classification
2601.14069v1,Unsupervised Video Class-Incremental Learning via Deep Embedded Clustering Management
2601.14054v1,SecureSplit: Mitigating Backdoor Attacks in Split Learning
2601.14053v1,LLMOrbit: A Circular Taxonomy of Large Language Models -From Scaling Walls to Agentic AI Systems
2601.14051v1,Kakugo: Distillation of Low-Resource Languages into Small Language Models
2601.14042v1,Federated Balanced Learning
2601.14033v1,PAC-Private Responses with Adversarial Composition
2601.14031v1,Intermittent time series forecasting: local vs global models
2601.14026v1,Universal Approximation Theorem for Input-Connected Multilayer Perceptrons
2601.14022v1,Credible CO2 Comparisons: A Machine Learning Approach to Vehicle Powertrain Assessment
2601.14001v1,Auditory Brain Passage Retrieval: Cross-Sensory EEG Training for Neural Information Retrieval
2601.14000v1,Group-Invariant Unsupervised Skill Discovery: Symmetry-aware Skill Representations for Generalizable Behavior
2601.13989v1,A universal linearized subspace refinement framework for neural networks
2601.13975v1,Harmonizing the Deep: A Unified Information Pipeline for Robust Marine Biodiversity Assessment Across Heterogeneous Domains
2601.13969v1,Autonomous Knowledge Graph Exploration with Adaptive Breadth-Depth Retrieval
2601.13964v1,RL-BioAug: Label-Efficient Reinforcement Learning for Self-Supervised EEG Representation Learning
2601.13953v1,Differentiable Logic Synthesis: Spectral Coefficient Selection via Sinkhorn-Constrained Composition
2601.13945v1,Efficient Coordination with the System-Level Shared State: An Embodied-AI Native Modular Framework
2601.13935v1,TrackletGPT: A Language-like GPT Framework for White Matter Tract Segmentation
2601.13931v1,Towards Effective Negation Modeling in Joint Audio-Text Models for Music
2601.13926v1,SCG With Your Phone: Diagnosis of Rhythmic Spectrum Disorders in Field Conditions
2601.13920v1,Asymmetric regularization mechanism for GAN training with Variational Inequalities
2601.13897v1,TractRLFusion: A GPT-Based Multi-Critic Policy Fusion Framework for Fiber Tractography
2601.13892v1,Multi-Objective Hierarchical Optimization with Large Language Models
2601.13874v1,Unified Unbiased Variance Estimation for MMD: Robust Finite-Sample Performance with Imbalanced Data and Exact Acceleration under Null and Alternative Hypotheses
2601.13852v1,Probabilistic Deep Discriminant Analysis for Wind Blade Segmentation
2601.13851v1,Inverting Self-Organizing Maps: A Unified Activation-Based Framework
2601.13849v1,Co-Initialization of Control Filter and Secondary Path via Meta-Learning for Active Noise Control
2601.13846v1,Virtual Urbanism: An AI-Driven Framework for Quantifying Urban Identity. A Tokyo-Based Pilot Study Using Diffusion-Generated Synthetic Environments
2601.13844v1,Optimal L2 Regularization in High-dimensional Continual Linear Regression
2601.13824v1,ELSA: Efficient LLM-Centric Split Aggregation for Privacy-Aware Hierarchical Federated Learning over Resource-Constrained Edge Networks
2601.13817v1,Device Association and Resource Allocation for Hierarchical Split Federated Learning in Space-Air-Ground Integrated Network
2601.13816v1,Discriminant Learning-based Colorspace for Blade Segmentation
2601.13806v1,Knowledge Graph-Assisted LLM Post-Training for Enhanced Legal Reasoning
2601.13798v1,Insight: Interpretable Semantic Hierarchies in Vision-Language Encoders
2601.13793v1,PAtt: A Pattern Attention Network for ETA Prediction Using Historical Speed Profiles
2601.13780v1,Principled Latent Diffusion for Graphs via Laplacian Autoencoders
2601.13776v1,"Orthogonium : A Unified, Efficient Library of Orthogonal and 1-Lipschitz Building Blocks"
2601.13770v1,Look-Ahead-Bench: a Standardized Benchmark of Look-ahead Bias in Point-in-Time LLMs for Finance
2601.13768v1,vLinear: A Powerful Linear Model for Multivariate Time Series Forecasting
2601.13751v1,HiT: History-Injection Transformers for Onboard Continuous Flood Change Detection
2601.13749v1,Pro-AI Bias in Large Language Models
2601.13748v1,EEG-Titans: Long-Horizon Seizure Forecasting via Dual-Branch Attention and Neural Memory
2601.13745v1,Variational Dual-path Attention Network for CSI-Based Gesture Recognition
2601.13731v1,Breaking the Data Barrier in Learning Symbolic Computation: A Case Study on Variable Ordering Suggestion for Cylindrical Algebraic Decomposition
2601.13713v1,SWE-Tester: Training Open-Source LLMs for Issue Reproduction in Real-World Repositories
2601.13710v1,Who Should Have Surgery? A Comparative Study of GenAI vs Supervised ML for CRS Surgical Outcome Prediction
2601.13708v1,Generative Adversarial Networks for Resource State Generation
2601.13707v1,Attention-space Contrastive Guidance for Efficient Hallucination Mitigation in LVLMs
2601.13704v1,Performance and Complexity Trade-off Optimization of Speech Models During Training
2601.13698v1,Does Privacy Always Harm Fairness? Data-Dependent Trade-offs via Chernoff Information Neural Estimation
2601.13697v1,Uncertainty-Aware Gradient Signal-to-Noise Data Selection for Instruction Tuning
2601.13676v1,Autoregressive deep learning for real-time simulation of soft tissue dynamics during virtual neurosurgery
2601.13662v1,Reinforcement Learning for Opportunistic Routing in Software-Defined LEO-Terrestrial Systems
2601.13657v1,Communication-Free Collective Navigation for a Swarm of UAVs via LiDAR-Based Deep Reinforcement Learning
2601.13653v1,TimeART: Towards Agentic Time Series Reasoning via Tool-Augmentation
2601.13645v1,Quadratic Upper Bound for Boosting Robustness
2601.13644v1,Towards Token-Level Text Anomaly Detection
2601.13642v1,Sample Complexity of Average-Reward Q-Learning: From Single-agent to Federated Reinforcement Learning
2601.13614v1,CauScientist: Teaching LLMs to Respect Data for Causal Discovery
2601.13608v1,Fisher-Informed Parameterwise Aggregation for Federated Learning with Heterogeneous Data
2601.13604v1,Optimizing Parallel Schemes with Lyapunov Exponents and kNN-LLE Estimation
2601.13602v1,An Elementary Approach to Scheduling in Generative Diffusion Models
2601.13599v1,Diffusion In Diffusion: Breaking the Autoregressive Bottleneck in Block Diffusion Models
2601.13592v1,Machine learning based radiative parameterization scheme and its performance in operational reforecast experiments
2601.13580v1,Neural Organ Transplantation (NOT): Checkpoint-Based Modular Adaptation for Transformer Models
2601.13578v1,FG-OrIU: Towards Better Forgetting via Feature-Gradient Orthogonality for Incremental Unlearning
2601.13572v1,Behavior Knowledge Merge in Reinforced Agentic Models
2601.13570v1,GeoDynamics: A Geometric State-Space Neural Network for Understanding Brain Dynamics on Riemannian Manifolds
2601.13569v1,DRGW: Learning Disentangled Representations for Robust Graph Watermarking
2601.13566v1,Self-Improvement as Coherence Optimization: A Theoretical Account
2601.13564v1,Multi-objective fluorescent molecule design with a data-physics dual-driven generative framework
2601.13563v1,ButterflyMoE: Sub-Linear Ternary Experts via Structured Butterfly Orbits
2601.13562v1,Reasoning is a Modality
2601.13548v1,Patterning: The Dual of Interpretability
2601.13542v1,Refined Gradient-Based Temperature Optimization for the Replica-Exchange Monte-Carlo Method
2601.13534v1,MN-TSG:Continuous Time Series Generation with Irregular Observations
2601.13528v1,Eliciting Harmful Capabilities by Fine-Tuning On Safeguarded Outputs
2601.13522v1,StoTAM: Stochastic Alternating Minimization for Tucker-Structured Tensor Sensing
2601.13519v1,Small Gradient Norm Regret for Online Convex Optimization
2601.13489v1,Bridging the Gap Between Estimated and True Regret Towards Reliable Regret Estimation in Deep Learning based Mechanism Design
2601.13476v1,A Unified Variational Imputation Framework for Electric Vehicle Charging Data Using Retrieval-Augmented Language Model
2601.13474v1,Preconditioning Benefits of Spectral Orthogonalization in Muon
2601.13465v1,Graph Neural Networks are Heuristics
2601.13463v1,Quantum Qualifiers for Neural Network Model Selection in Hadronic Physics
2601.13458v1,Labels or Preferences? Budget-Constrained Learning with Human Judgments over AI-Generated Outputs
2601.13456v1,Federated Learning Under Temporal Drift -- Mitigating Catastrophic Forgetting via Experience Replay
2601.13448v1,Fairness-informed Pareto Optimization : An Efficient Bilevel Framework
2601.13445v1,BladeSDF : Unconditional and Conditional Generative Modeling of Representative Blade Geometries Using Signed Distance Functions
2601.13437v1,MOSLD-Bench: Multilingual Open-Set Learning and Discovery Benchmark for Text Categorization
2601.13436v1,Distribution-Free Confidence Ellipsoids for Ridge Regression with PAC Bounds
2601.13435v1,A Learnable Wavelet Transformer for Long-Short Equity Trading and Risk-Adjusted Return Optimization
2601.13433v1,"Trust Me, I'm an Expert: Decoding and Steering Authority Bias in Large Language Models"
2601.13422v1,TrustEnergy: A Unified Framework for Accurate and Reliable User-level Energy Usage Prediction
2601.13410v1,Classifiers in High Dimensional Hilbert Metrics
2601.13398v1,Can LLMs Compress (and Decompress)? Evaluating Code Understanding and Execution via Invertibility
2601.13387v1,Confidence over Time: Confidence Calibration with Temporal Logic for Large Language Model Reasoning
2601.13368v1,Recurrent Confidence Chain: Temporal-Aware Uncertainty Quantification in Large Language Models
2601.13365v1,CausationEntropy: Pythonic Optimal Causation Entropy
2601.13362v1,Improving Geopolitical Forecasts with Bayesian Networks
2601.13359v1,Sockpuppetting: Jailbreaking LLMs Without Optimization Through Output Prefix Injection
2601.13358v1,The Geometry of Thought: How Scale Restructures Reasoning In Large Language Models
2601.13357v1,On the Relation of State Space Models and Hidden Markov Models
2601.13350v1,Beyond Mapping : Domain-Invariant Representations via Spectral Embedding of Optimal Transport Plans
2601.13331v1,MultiST: A Cross-Attention-Based Multimodal Model for Spatial Transcriptomic
2601.13317v1,Paid Voices vs. Public Feeds: Interpretable Cross-Platform Theme Modeling of Climate Discourse
2601.13308v1,Scaling laws for amplitude surrogates
2601.13303v1,Verifying Local Robustness of Pruned Safety-Critical Networks
2601.13295v1,CooperBench: Why Coding Agents Cannot be Your Teammates Yet
2601.13294v1,The Tag is the Signal: URL-Agnostic Credibility Scoring for Messages on Telegram
2601.13284v1,Balancing Classification and Calibration Performance in Decision-Making LLMs via Calibration Aware Reinforcement Learning
2601.13272v1,Multi-level Monte Carlo Dropout for Efficient Uncertainty Quantification
2601.13260v1,Stop Taking Tokenizers for Granted: They Are Core Design Decisions in Large Language Models
2601.13256v1,Deep Neural networks for solving high-dimensional parabolic partial differential equations
2601.13253v1,A Hybrid Protocol for Large-Scale Semantic Dataset Generation in Low-Resource Languages: The Turkish Semantic Relations Corpus
2601.13251v1,Beyond Cosine Similarity: Taming Semantic Drift and Antonym Intrusion in a 15-Million Node Turkish Synonym Graph
2601.13247v1,Aligning Agentic World Models via Knowledgeable Experience Learning
2601.13244v1,Do Instruction-Tuned Models Always Perform Better Than Base Models? Evidence from Math and Domain-Shifted Benchmarks
2601.13243v1,A Comprehensive Evaluation of LLM Reasoning: From Single-Model to Multi-Agent Paradigms
2601.13240v1,KOCO-BENCH: Can Large Language Models Leverage Domain Knowledge in Software Development?
2601.13235v1,RubRIX: Rubric-Driven Risk Mitigation in Caregiver-AI Interactions
2601.13197v1,Diffusion-Driven Synthetic Tabular Data Generation for Enhanced DoS/DDoS Attack Classification
2601.13191v1,Empirical Risk Minimization with $f$-Divergence Regularization
2601.13190v1,LAViG-FLOW: Latent Autoregressive Video Generation for Fluid Flow Simulations
2601.13166v1,"From 100,000+ images to winning the first brain MRI foundation model challenges: Sharing lessons and models"
2601.13162v1,NeuroShield: A Neuro-Symbolic Framework for Adversarial Robustness
2601.13160v1,Training instability in deep learning follows low-dimensional dynamical principles
2601.13155v1,Probe and Skip: Self-Predictive Token Skipping for Efficient Long-Context LLM Inference
2601.13145v1,SolARED: Solar Active Region Emergence Dataset for Machine Learning Aided Predictions
2601.13144v1,Forecasting Continuum Intensity for Solar Active Region Emergence Prediction using Transformers
2601.13143v1,FastAV: Efficient Token Pruning for Audio-Visual Large Language Model Inference
2601.13102v1,Approximate full conformal prediction in RKHS
2601.13100v1,Recursive Meta-Distillation: An Axiomatic Framework for Iterative Knowledge Refinement
2601.13097v1,RM -RF: Reward Model for Run-Free Unit Test Evaluation
2601.13082v1,Adversarial News and Lost Profits: Manipulating Headlines in LLM-Driven Algorithmic Trading
2601.13079v1,Polychronous Wave Computing: Timing-Native Address Selection in Spiking Networks
2601.13075v1,METIS: Mentoring Engine for Thoughtful Inquiry & Solutions
2601.13054v1,TinyML-Enabled IoT for Sustainable Precision Irrigation
2601.13048v1,Analysis of Long Range Dependency Understanding in State Space Models
2601.13035v1,SASA: Semantic-Aware Contrastive Learning Framework with Separated Attention for Triple Classification
2601.13021v1,Enhancing Generalization in Sickle Cell Disease Diagnosis through Ensemble Methods and Feature Importance Analysis
2601.13020v1,PASs-MoE: Mitigating Misaligned Co-drift among Router and Experts via Pathway Activation Subspaces for Continual Learning
2601.13013v1,HT-GNN: Hyper-Temporal Graph Neural Network for Customer Lifetime Value Prediction in Baidu Ads
2601.12996v1,OFA-MAS: One-for-All Multi-Agent System Topology Design based on Mixture-of-Experts Graph Generative Models
2601.12990v1,Beyond Visual Realism: Toward Reliable Financial Time Series Generation
2601.12988v1,PaperGuide: Making Small Language-Model Paper-Reading Agents More Efficient
2601.12981v1,Early Prediction of Type 2 Diabetes Using Multimodal data and Tabular Transformers
2601.12971v1,Architecture-Optimization Co-Design for Physics-Informed Neural Networks Via Attentive Representations and Conflict-Resolved Gradients
2601.12965v1,Deterministic Dynamics of Sampling Processes in Score-Based Diffusion Models with Multiplicative Noise Conditioning
2601.12946v1,AI-generated data contamination erodes pathological variability and diagnostic reliability
2601.12945v1,A Component-Based Survey of Interactions between Large Language Models and Multi-Armed Bandits
2601.12931v1,Online Continual Learning for Time Series: a Natural Score-driven Approach
2601.12928v1,An efficient heuristic for geometric analysis of cell deformations
2601.12922v1,Your Privacy Depends on Others: Collusion Vulnerabilities in Individual Differential Privacy
2601.12918v1,Dynamic Hand Gesture Recognition for Robot Manipulator Tasks
2601.12917v1,CooperLLM: Cloud-Edge-End Cooperative Federated Fine-tuning for LLMs via ZOO-based Gradient Correction
2601.12913v1,Actionable Interpretability Must Be Defined in Terms of Symmetries
2601.12903v1,Deep Temporal Graph Clustering: A Comprehensive Benchmark and Datasets
2601.12900v1,"Supervised Learning for the (s,S) Inventory Model with General Interarrival Demands and General Lead Times"
2601.12895v1,"TwoHead-SwinFPN: A Unified DL Architecture for Synthetic Manipulation, Detection and Localization in Identity Documents"
2601.12893v1,AdaNODEs: Test Time Adaptation for Time Series Forecasting Using Neural ODEs
2601.12886v1,Communication Methods in Multi-Agent Reinforcement Learning
2601.12879v1,Hierarchical Sparse Circuit Extraction from Billion-Parameter Language Models through Scalable Attribution Graph Decomposition
2601.12868v1,"Race, Ethnicity and Their Implication on Bias in Large Language Models"
2601.12866v1,PDFInspect: A Unified Feature Extraction Framework for Malicious Document Detection
2601.12859v1,Generating Cyclic Conformers with Flow Matching in Cremer-Pople Coordinates
2601.12856v1,Mining Citywide Dengue Spread Patterns in Singapore Through Hotspot Dynamics from Open Web Data
2601.12842v1,SCULPT: Constraint-Guided Pruned MCTS that Carves Efficient Paths for Mathematical Reasoning
2601.12839v1,Knowledge-Integrated Representation Learning for Crypto Anomaly Detection under Extreme Label Scarcity; Relational Domain-Logic Integration with Retrieval-Grounded Context and Path-Level Explanations
2601.12816v1,Fisher-Orthogonal Projected Natural Gradient Descent for Continual Learning
2601.12809v1,Left-Right Symmetry Breaking in CLIP-style Vision-Language Models Trained on Synthetic Spatial-Relation Data
2601.12808v1,Joint Source-Channel-Generation Coding: From Distortion-oriented Reconstruction to Semantic-consistent Generation
2601.12807v1,Semi-supervised Instruction Tuning for Large Language Models on Text-Attributed Graphs
2601.12804v1,SL-CBM: Enhancing Concept Bottleneck Models with Semantic Locality for Better Interpretability
2601.12785v1,Distilling Time Series Foundation Models for Efficient Forecasting
2601.12775v1,Eddy-Resolving Global Ocean Forecasting with Multi-Scale Graph Neural Networks
2601.12758v1,VISPA: Pluralistic Alignment via Automatic Value Selection and Activation
2601.12752v1,SoundPlot: An Open-Source Framework for Birdsong Acoustic Analysis and Neural Synthesis with Interactive 3D Visualization
2601.12751v1,A Boolean Function-Theoretic Framework for Expressivity in GNNs with Applications to Fair Graph Mining
2601.12745v1,A Graph Prompt Fine-Tuning Method for WSN Spatio-Temporal Correlation Anomaly Detection
2601.12730v1,Distribution-Centric Policy Optimization Dominates Exploration-Exploitation Trade-off
2601.12714v1,P2L-CA: An Effective Parameter Tuning Framework for Rehearsal-Free Multi-Label Class-Incremental Learning
2601.12711v1,Neurosymbolic LoRA: Why and When to Tune Weights vs. Rewrite Prompts
2601.12707v1,Decoding Rewards in Competitive Games: Inverse Game Theory with Entropy Regularization
2601.12706v1,Trend-Adjusted Time Series Models with an Application to Gold Price Forecasting
2601.12704v1,Adaptively trained Physics-informed Radial Basis Function Neural Networks for Solving Multi-asset Option Pricing Problems
2601.12703v1,Towards Spectroscopy: Susceptibility Clusters in Language Models
2601.12699v1,Resource-Conscious RL Algorithms for Deep Brain Stimulation
2601.12693v1,BlocksecRT-DETR: Decentralized Privacy-Preserving and Token-Efficient Federated Transformer Learning for Secure Real-Time Object Detection in ITS
2601.12688v1,Logic-Guided Multistage Inference for Explainable Multidefendant Judgment Prediction
2601.12680v1,MetaToolAgent: Towards Generalizable Tool Usage in LLMs through Meta-Learning
2601.12671v1,Exploiting Test-Time Augmentation in Federated Learning for Brain Tumor MRI Classification
2601.12664v1,Generalizable Hyperparameter Optimization for Federated Learning on Non-IID Cancer Images
2601.12663v1,Energy-Efficient Prediction in Textile Manufacturing: Enhancing Accuracy and Data Efficiency With Ensemble Deep Transfer Learning
2601.12662v1,Decentralized Learning Strategies for Estimation Error Minimization with Graph Neural Networks
2601.12660v1,Toward Faithful Explanations in Acoustic Anomaly Detection
2601.12654v1,Explanation Multiplicity in SHAP: Characterization and Assessment
2601.12639v1,"Objective Matters: Fine-Tuning Objectives Shape Safety, Robustness, and Persona Drift"
2601.12637v1,Topology-Aware Multiscale Mixture of Experts for Efficient Molecular Property Prediction
2601.12630v1,Reorienting off-path Nudged Elastic Bands (RONEB) via Minimum Mode Following
2601.12624v1,"Towards Robust Universal Perturbation Attacks: A Float-Coded, Penalty-Driven Evolutionary Approach"
2601.12621v1,Learning Deterministic Finite-State Machines from the Prefixes of a Single String is NP-Complete
2601.12614v1,Deterministic and probabilistic neural surrogates of global hybrid-Vlasov simulations
2601.12612v1,"What Trace Powers Reveal About Log-Determinants: Closed-Form Estimators, Certificates, and Failure Modes"
2601.12610v1,"HERMES: A Unified Open-Source Framework for Realtime Multimodal Physiological Sensing, Edge AI, and Intervention in Closed-Loop Smart Healthcare Applications"
2601.12604v1,Beyond Softmax and Entropy: Improving Convergence Guarantees of Policy Gradients by f-SoftArgmax Parameterization with Coupled Regularization
2601.12603v1,"onepot CORE -- an enumerated chemical space to streamline drug discovery, enabled by automated small molecule synthesis and AI"
2601.12600v1,SSVD-O: Parameter-Efficient Fine-Tuning with Structured SVD for Speech Recognition
2601.12598v1,Dissecting Linear Recurrent Models: How Different Gating Strategies Drive Selectivity and Generalization
2601.12587v1,A Theory of Diversity for Random Matrices with Applications to In-Context Learning of Schrödinger Equations
2601.12557v1,"Life, Machine Learning, and the Search for Habitability: Predicting Biosignature Fluxes for the Habitable Worlds Observatory"
2601.12543v1,Press Start to Charge: Videogaming the Online Centralized Charging Scheduling Problem
2601.12525v1,Approximating splits for decision trees quickly in sparse data streams
2601.12522v1,Improved Bug Localization with AI Agents Leveraging Hypothesis and Dynamic Cognition
2601.12519v1,Learning Relativistic Geodesics and Chaotic Dynamics via Stabilized Lagrangian Neural Networks
2601.12518v1,Cooperative Multi-agent RL with Communication Constraints
2601.12507v1,SDCoNet: Saliency-Driven Multi-Task Collaborative Network for Remote Sensing Object Detection
2601.12502v1,Semidefinite Programming for Quantum Channel Learning
2601.12499v1,Failure Modes in Multi-Hop QA: The Weakest Link Law and the Recognition Bottleneck
2601.12483v1,A Mixture of Experts Vision Transformer for High-Fidelity Surface Code Decoding
2601.12467v1,Patch-Level Tokenization with CNN Encoders and Attention for Improved Transformer Time-Series Forecasting
2601.12460v1,TrojanPraise: Jailbreak LLMs via Benign Fine-Tuning
2601.12442v1,Constraint-Aware Neurosymbolic Uncertainty Quantification with Bayesian Deep Learning for Scientific Discovery
2601.12436v1,Purification Before Fusion: Toward Mask-Free Speech Enhancement for Robust Audio-Visual Speech Recognition
2601.12433v1,Temporal Data and Short-Time Averages Improve Multiphase Mass Flow Metering
2601.12426v1,Graph Attention Networks with Physical Constraints for Anomaly Detection
2601.12415v1,Orthogonalized Policy Optimization:Decoupling Sampling Geometry from Optimization Geometry in RLHF
2601.12407v1,De-Anonymization at Scale via Tournament-Style Attribution
2601.12405v1,Explainable Machine Learning for Pediatric Dental Risk Stratification Using Socio-Demographic Determinants
2601.12401v1,Beyond the Dirac Delta: Mitigating Diversity Collapse in Reinforcement Fine-Tuning for Versatile Image Generation
2601.12400v1,BiCoLoR: Communication-Efficient Optimization with Bidirectional Compression and Local Training
2601.12380v1,Statistical-Neural Interaction Networks for Interpretable Mixed-Type Data Imputation
2601.12375v1,LiQSS: Post-Transformer Linear Quantum-Inspired State-Space Tensor Networks for Real-Time 6G
2601.12362v1,Machine Learning-Based Framework for Real Time Detection and Early Prediction of Control Valve Stiction in Industrial Control Systems
2601.12355v1,LB-MCTS: Synergizing Large Language Models and Bayesian Optimization for Efficient CASH
2601.12354v1,Bone-conduction Guided Multimodal Speech Enhancement with Conditional Diffusion Models
2601.12345v1,Adaptive Rotary Steering with Joint Autoregression for Robust Extraction of Closely Moving Speakers in Dynamic Scenarios
2601.12341v1,Time-Continuous Modeling for Temporal Affective Pattern Recognition in LLMs
2601.12330v1,IceWatch: Forecasting Glacial Lake Outburst Floods (GLOFs) using Multimodal Deep Learning
2601.12322v1,Ordered Local Momentum for Asynchronous Distributed Learning under Arbitrary Delays
2601.12317v1,Explanova: Automatically Discover Data Insights in N \times M Table via XAI Combined LLM Workflow
2601.12311v1,Cross-reality Location Privacy Protection in 6G-enabled Vehicular Metaverses: An LLM-enhanced Hybrid Generative Diffusion Model-based Approach
2601.12308v1,Adaptive Multi-Scale Correlation Meta-Network for Few-Shot Remote Sensing Image Classification
2601.12307v1,Rethinking the Value of Multi-Agent Workflow: A Strong Single Agent Baseline
2601.12305v1,Machine Learning as a Service (MLaaS) Dataset Generator Framework for IoT Environments
2601.12296v1,Distribution Shift Is Key to Learning Invariant Prediction
2601.12289v1,ParaMETA: Towards Learning Disentangled Paralinguistic Speaking Styles Representations from Speech
2601.12288v1,TimeGMM: Single-Pass Probabilistic Forecasting via Adaptive Gaussian Mixture Models with Reversible Normalization
2601.12279v1,HCFT: Hierarchical Convolutional Fusion Transformer for EEG Decoding
2601.12263v1,Multimodal Generative Engine Optimization: Rank Manipulation for Vision-Language Model Rankers
2601.12259v1,FutureX-Pro: Extending Future Prediction to High-Value Vertical Domains
2601.12253v1,Federated Joint Learning for Domain and Class Generalization
2601.12248v1,AQUA-Bench: Beyond Finding Answers to Knowing When There Are None in Audio Question Answering
2601.12247v1,"Plan, Verify and Fill: A Structured Parallel Decoding Approach for Diffusion Language Models"
2601.12242v1,Optimal Power Allocation and Sub-Optimal Channel Assignment for Downlink NOMA Systems Using Deep Reinforcement Learning
2601.12238v1,On the Provable Suboptimality of Momentum SGD in Nonstationary Stochastic Optimization
2601.12231v1,Wavelet-Aware Anomaly Detection in Multi-Channel User Logs via Deviation Modulation and Resolution-Adaptive Attention
2601.12227v1,Learning Longitudinal Health Representations from EHR and Wearable Data
2601.12219v1,Persistent Sheaf Laplacian Analysis of Protein Stability and Solubility Changes upon Mutation
2601.12215v1,Wavelet-Driven Masked Multiscale Reconstruction for PPG Foundation Models
2601.12213v1,One-Sided Matrix Completion from Ultra-Sparse Samples
2601.12212v1,Speculative Sampling with Reinforcement Learning
2601.12178v1,Federated Learning for the Design of Parametric Insurance Indices under Heterogeneous Renewable Production Losses
2601.12161v1,Streaming Operator Inference for Model Reduction of Large-Scale Dynamical Systems
2601.12145v1,"Threshold Differential Attention for Sink-Free, Ultra-Sparse, and Non-Dispersive Language Modeling"
2601.12137v1,EMoE: Eigenbasis-Guided Routing for Mixture-of-Experts
2601.12131v1,SolarGPT-QA: A Domain-Adaptive Large Language Model for Educational Question Answering in Space Weather and Heliophysics
2601.12124v1,SynQP: A Framework and Metrics for Evaluating the Quality and Privacy Risk of Synthetic Data
2601.12117v1,Offline Policy Learning with Weight Clipping and Heaviside Composite Optimization
2601.12095v1,Neural Isomorphic Fields: A Transformer-based Algebraic Numerical Embedding
2601.12093v1,PTL-PINNs: Perturbation-Guided Transfer Learning with Physics- Informed Neural Networks for Nonlinear Systems
2601.12091v1,Mitigating Cultural Bias in LLMs via Multi-Agent Cultural Debate
2601.12083v1,Learning to Factorize and Adapt: A Versatile Approach Toward Universal Spatio-Temporal Foundation Models
2601.12055v1,Automating Parameter Selection in Deep Image Prior for Fluorescence Microscopy Image Denoising via Similarity-Based Parameter Transfer
2601.12053v1,A New Strategy for Artificial Intelligence: Training Foundation Models Directly on Human Brain Data
2601.12039v1,Nonlinear Dynamic Factor Analysis With a Transformer Network
2601.12032v1,Speaking to Silicon: Neural Communication with Bitcoin Mining ASICs
2601.12023v1,A Kernel Approach for Semi-implicit Variational Inference
2601.12011v1,Why Loss Re-weighting Works If You Stop Early: Training Dynamics of Unconstrained Features
2601.12008v1,Extreme Value Policy Optimization for Safe Reinforcement Learning
