monthly_downloads,package
322227107,wheel
311233499,typing-inspection
310954268,pyjwt
306094687,pyasn1-modules
300390271,httpx
295165411,httpcore
293565918,google-api-core
289484640,colorama
284855054,yandexcloud
281954971,opentelemetry-proto
280824866,aiohttp
273521302,virtualenv
273122629,python-dotenv
271529094,yarl
270787755,jsonschema
270770987,multidict
264868044,rich
264489783,requests-oauthlib
263435215,opentelemetry-exporter-otlp-proto-grpc
263165966,pyarrow
263135250,googleapis-common-protos
262244319,scipy
261520701,grpcio-tools
261333589,tqdm
257245803,grpcio
256837910,wrapt
256673318,tomli
254155264,frozenlist
250405215,greenlet
250258451,sqlalchemy
249569071,markdown-it-py
246358606,google-genai
246028689,opentelemetry-sdk
245741562,aiosignal
244331505,propcache
242047559,rpds-py
241764532,mdurl
241427597,pathspec
239617573,pillow
239159451,psutil
236116015,referencing
231736650,jsonschema-specifications
231187445,opentelemetry-exporter-otlp-proto-http
229363960,oauthlib
228023966,pyparsing
220491817,starlette
217966208,aiohappyeyeballs
217764972,uvicorn
214449447,opentelemetry-exporter-otlp
212980001,trove-classifiers
211281696,et-xmlfile
210323205,openpyxl
210282106,lxml
208013282,distlib
207843496,beautifulsoup4
205713076,fastapi
203017459,soupsieve
202349564,tomlkit
196383261,opentelemetry-exporter-otlp-proto-common
191979475,pyopenssl
189175233,tenacity
188009607,docutils
187275197,exceptiongroup
184319505,sniffio
183521473,requests-toolbelt
181267054,websocket-client
179379213,flask
173912133,regex
172906508,proto-plus
171942233,isodate
170618188,more-itertools
169692304,werkzeug
168492486,pynacl
167534594,google-cloud-storage
167413208,psycopg2-binary
167132903,shellingham
166796220,huggingface-hub
165368934,opentelemetry-api
164201132,mypy-extensions
161994747,opentelemetry-semantic-conventions
160483013,sortedcontainers
157976522,scikit-learn
157460031,decorator
157128182,ptyprocess
156804546,pexpect
155461309,msgpack
150311411,hatchling
150257952,networkx
149759891,azure-core
149123774,coverage
147266860,azure-identity
145292664,msal
144654374,snowflake-connector-python
142590563,websockets
140035739,python-multipart
139910011,async-timeout
139078919,wcwidth
136809003,joblib
136164572,threadpoolctl
136120586,bcrypt
134860429,asn1crypto
134616818,dnspython
133489115,gitpython
129901324,openai
128720148,google-cloud-core
127407450,distro
126965531,poetry-core
125060451,smmap
124573393,deprecated
124247466,tabulate
122264782,annotated-doc
122223726,gitdb
120986644,matplotlib
120722905,cloudpickle
119906952,chardet
119181513,itsdangerous
118976897,ruamel-yaml
118687073,redis
118464785,paramiko
117870346,google-resumable-media
117737102,google-cloud-bigquery
117411389,fonttools
115573260,keyring
115558072,google-crc32c
114342320,prompt-toolkit
113766696,transformers
113595124,google-auth-oauthlib
113342067,google-api-python-client
112213468,alembic
112030236,langsmith
111966845,pyproject-hooks
110493686,dill
110119767,pydantic-settings
108923591,kiwisolver
108465081,jiter
108455515,setuptools-scm
107997356,blinker
107601543,typer
107524693,backoff
106581775,ruff
106328137,tzlocal
106016630,jsonpointer
105924623,google-cloud-batch
105690143,secretstorage
104970349,jaraco-classes
103592206,aliyun-python-sdk-core
102907581,uritemplate
102771866,google-auth-httplib2
102716015,kubernetes
102698008,msal-extensions
102493088,google-cloud-secret-manager
101907474,jeepney
101535683,orjson
101408714,build
101092910,cycler
101004175,fastjsonschema
100976609,httplib2
100565456,langchain
100383434,pytest-asyncio
100166454,defusedxml
99471879,zstandard
99218170,textual
99175148,google-analytics-admin
98807038,rapidfuzz
98538671,ruamel-yaml-clib
98328384,pytest-cov
98279804,grpcio-health-checking
97187097,azure-storage-blob
96493403,pyzmq
96170069,nodeenv
95798084,contourpy
95470304,py4j
95318098,marshmallow
95140120,prometheus-client
94170796,docker
93792297,jaraco-functools
93725542,tokenizers
93174268,types-requests
92361252,sqlparse
90609032,jaraco-context
90156375,xmltodict
89864756,opentelemetry-instrumentation
89579592,ipython
89496810,mako
89441873,sympy
88531229,cython
88261671,cfgv
87839580,tornado
87833940,importlib-resources
87512976,pre-commit
86850577,identify
86688363,black
86333788,jsonpatch
85415096,typedload
85343974,hf-xet
85263111,aiofiles
85242898,toml
84572362,traitlets
84551859,mpmath
84497576,babel
84406413,email-validator
83960695,uv
83392785,editables
82883732,jedi
82709046,parso
82188651,mypy
81873998,nest-asyncio
81827412,opentelemetry-exporter-prometheus
80227421,awswrangler
79835080,matplotlib-inline
79736073,executing
79657108,argcomplete
79400089,pandas-stubs
78323134,grpc-google-iam-v1
78235705,asttokens
76302538,ply
76101784,opensearch-py
74477814,webencodings
74238903,sentry-sdk
73862291,langchain-core
73767662,tiktoken
73515930,watchfiles
73507043,pymongo
73220759,asgiref
73206366,docstring-parser
73125664,sphinx
72812189,stack-data
72713084,pure-eval
71921754,pymysql
71750140,termcolor
71494942,markdown
71399567,dbt-core
70869558,gunicorn
70378533,mccabe
69867395,durationpy
69734088,torch
69447471,uvloop
69388998,snowflake-sqlalchemy
69295579,pymupdf
69242741,python-json-logger
69055217,aioitertools
68904895,pytest-xdist
68706316,typing-inspect
68386930,cachecontrol
68105348,google-cloud-vision
67730845,opentelemetry-util-http
67410339,isort
67248419,execnet
66946134,pycodestyle
66816192,google-cloud-monitoring
66430960,google-cloud-tasks
66299450,google-cloud-speech
66214492,msrest
66111238,google-cloud-dlp
65857603,pkginfo
65610614,dbt-common
65403655,google-cloud-compute
64867154,google-cloud-workflows
64670278,pycryptodome
64641303,databricks-sdk
64558997,google-cloud-language
64521360,debugpy
64330832,shapely
63717753,litellm
63675801,dbt-adapters
63463128,requests-aws4auth
63329669,httptools
63053985,google-cloud-dataform
62390349,google-cloud-videointelligence
62183805,mcp
61905661,jsonpath-ng
61902590,google-cloud-kms
61888478,watchdog
61607170,google-cloud-os-login
61197423,azure-common
61136924,opentelemetry-instrumentation-requests
61091126,installer
60533222,multiprocess
60517961,datadog
60357402,pendulum
60193966,google-cloud-bigtable
60102733,future
59489069,notebook
59477672,google-cloud-redis
59155811,httpx-sse
58944991,slack-sdk
58314588,scramp
58179894,h2
58177583,hyperframe
57816130,hpack
57338045,google-cloud-memcache
57322851,lz4
57080190,jupyter-core
56989726,cattrs
56726437,dulwich
56452816,pytest-mock
56124359,requests-file
55671094,databricks-sql-connector
55641025,dataclasses-json
55560247,smart-open
